Date,Baltimore Convention Center event,Orioles home game,Ravens home game
2024-01-01,no,no,no
2024-01-02,no,no,no
2024-01-03,no,no,no
2024-01-04,no,no,no
2024-01-05,no,no,no
2024-01-06,no,no,no
2024-01-07,no,no,no
2024-01-08,no,no,no
2024-01-09,no,no,no
2024-01-10,no,no,no
2024-01-11,no,no,no
2024-01-12,no,no,no
2024-01-13,no,no,no
2024-01-14,no,no,no
2024-01-15,no,no,no
2024-01-16,no,no,no
2024-01-17,no,no,no
2024-01-18,no,no,no
2024-01-19,no,no,no
2024-01-20,no,no,yes
2024-01-21,no,no,no
2024-01-22,no,no,no
2024-01-23,no,no,no
2024-01-24,no,no,no
2024-01-25,no,no,no
2024-01-26,no,no,no
2024-01-27,no,no,no
2024-01-28,no,no,yes
2024-01-29,no,no,no
2024-01-30,no,no,no
2024-01-31,no,no,no
2024-02-01,no,no,no
2024-02-02,no,no,no
2024-02-03,no,no,no
2024-02-04,no,no,no
2024-02-05,no,no,no
2024-02-06,no,no,no
2024-02-07,no,no,no
2024-02-08,no,no,no
2024-02-09,no,no,no
2024-02-10,no,no,no
2024-02-11,no,no,no
2024-02-12,no,no,no
2024-02-13,no,no,no
2024-02-14,no,no,no
2024-02-15,no,no,no
2024-02-16,no,no,no
2024-02-17,no,no,no
2024-02-18,no,no,no
2024-02-19,no,no,no
2024-02-20,no,no,no
2024-02-21,no,no,no
2024-02-22,no,no,no
2024-02-23,no,no,no
2024-02-24,no,no,no
2024-02-25,no,no,no
2024-02-26,no,no,no
2024-02-27,no,no,no
2024-02-28,no,no,no
2024-02-29,no,no,no
2024-03-01,no,no,no
2024-03-02,no,no,no
2024-03-03,no,no,no
2024-03-04,no,no,no
2024-03-05,no,no,no
2024-03-06,no,no,no
2024-03-07,no,no,no
2024-03-08,no,no,no
2024-03-09,no,no,no
2024-03-10,no,no,no
2024-03-11,no,no,no
2024-03-12,no,no,no
2024-03-13,no,no,no
2024-03-14,no,no,no
2024-03-15,no,no,no
2024-03-16,no,no,no
2024-03-17,no,no,no
2024-03-18,no,no,no
2024-03-19,no,no,no
2024-03-20,no,no,no
2024-03-21,no,no,no
2024-03-22,no,no,no
2024-03-23,no,no,no
2024-03-24,no,no,no
2024-03-25,no,no,no
2024-03-26,no,no,no
2024-03-27,no,no,no
2024-03-28,no,yes,no
2024-03-29,no,no,no
2024-03-30,no,yes,no
2024-03-31,no,yes,no
2024-04-01,no,no,no
2024-04-02,no,no,no
2024-04-03,no,no,no
2024-04-04,no,no,no
2024-04-05,no,yes,no
2024-04-06,no,yes,no
2024-04-07,yes,no,no
2024-04-08,no,no,no
2024-04-09,no,no,no
2024-04-10,no,no,no
2024-04-11,yes,no,no
2024-04-12,yes,yes,no
2024-04-13,yes,yes,no
2024-04-14,yes,yes,no
2024-04-15,yes,yes,no
2024-04-16,yes,yes,no
2024-04-17,yes,yes,no
2024-04-18,no,no,no
2024-04-19,yes,no,no
2024-04-20,yes,no,no
2024-04-21,yes,no,no
2024-04-22,no,no,no
2024-04-23,yes,no,no
2024-04-24,no,no,no
2024-04-25,no,no,no
2024-04-26,yes,yes,no
2024-04-27,yes,yes,no
2024-04-28,yes,yes,no
2024-04-29,yes,yes,no
2024-04-30,no,yes,no
2024-05-01,no,yes,no
2024-05-02,no,no,no
2024-05-03,yes,no,no
2024-05-04,yes,no,no
2024-05-05,no,no,no
2024-05-06,no,no,no
2024-05-07,no,no,no
2024-05-08,no,no,no
2024-05-09,no,no,no
2024-05-10,no,yes,no
2024-05-11,no,yes,no
2024-05-12,no,yes,no
2024-05-13,no,yes,no
2024-05-14,no,yes,no
2024-05-15,no,yes,no
2024-05-16,no,no,no
2024-05-17,yes,yes,no
2024-05-18,yes,yes,no
2024-05-19,no,yes,no
2024-05-20,no,no,no
2024-05-21,no,no,no
2024-05-22,yes,no,no
2024-05-23,yes,no,no
2024-05-24,no,no,no
2024-05-25,no,no,no
2024-05-26,no,no,no
2024-05-27,no,yes,no
2024-05-28,no,yes,no
2024-05-29,no,yes,no
2024-05-30,no,no,no
2024-05-31,no,yes,no
2024-06-01,no,yes,no
2024-06-02,no,yes,no
2024-06-03,no,no,no
2024-06-04,no,no,no
2024-06-05,no,no,no
2024-06-06,no,no,no
2024-06-07,no,no,no
2024-06-08,no,no,no
2024-06-09,no,no,no
2024-06-10,yes,no,no
2024-06-11,yes,yes,no
2024-06-12,yes,yes,no
2024-06-13,yes,yes,no
2024-06-14,yes,yes,no
2024-06-15,yes,yes,no
2024-06-16,yes,yes,no
2024-06-17,no,no,no
2024-06-18,no,no,no
2024-06-19,no,no,no
2024-06-20,no,no,no
2024-06-21,no,no,no
2024-06-22,no,no,no
2024-06-23,no,no,no
2024-06-24,no,yes,no
2024-06-25,no,yes,no
2024-06-26,no,yes,no
2024-06-27,yes,yes,no
2024-06-28,yes,yes,no
2024-06-29,yes,yes,no
2024-06-30,yes,yes,no
2024-07-01,yes,no,no
2024-07-02,yes,no,no
2024-07-03,no,no,no
2024-07-04,no,no,no
2024-07-05,no,no,no
2024-07-06,no,no,no
2024-07-07,no,no,no
2024-07-08,no,no,no
2024-07-09,no,yes,no
2024-07-10,no,yes,no
2024-07-11,no,yes,no
2024-07-12,no,yes,no
2024-07-13,no,yes,no
2024-07-14,no,yes,no
2024-07-15,no,no,no
2024-07-16,no,no,no
2024-07-17,no,no,no
2024-07-18,no,no,no
2024-07-19,no,no,no
2024-07-20,no,no,no
2024-07-21,no,no,no
2024-07-22,no,no,no
2024-07-23,no,no,no
2024-07-24,no,no,no
2024-07-25,yes,no,no
2024-07-26,yes,yes,no
2024-07-27,no,yes,no
2024-07-28,no,yes,no
2024-07-29,no,yes,no
2024-07-30,no,yes,no
2024-07-31,no,yes,no
2024-08-01,no,no,no
2024-08-02,no,no,no
2024-08-03,no,no,no
2024-08-04,no,no,no
2024-08-05,no,no,no
2024-08-06,no,no,no
2024-08-07,no,no,no
2024-08-08,no,no,no
2024-08-09,no,no,no
2024-08-10,no,no,no
2024-08-11,no,no,no
2024-08-12,no,no,no
2024-08-13,no,yes,no
2024-08-14,no,yes,no
2024-08-15,no,yes,no
2024-08-16,no,yes,no
2024-08-17,no,yes,no
2024-08-18,no,yes,no
2024-08-19,no,no,no
2024-08-20,no,no,no
2024-08-21,no,no,no
2024-08-22,no,yes,no
2024-08-23,no,yes,no
2024-08-24,no,yes,no
2024-08-25,no,yes,no
2024-08-26,no,no,no
2024-08-27,no,no,no
2024-08-28,no,no,no
2024-08-29,no,no,no
2024-08-30,no,no,no
2024-08-31,no,no,no
2024-09-01,no,no,no
2024-09-02,no,yes,no
2024-09-03,no,yes,no
2024-09-04,no,yes,no
2024-09-05,no,no,no
2024-09-06,no,yes,no
2024-09-07,no,yes,no
2024-09-08,no,yes,no
2024-09-09,no,no,no
2024-09-10,no,no,no
2024-09-11,no,no,no
2024-09-12,no,no,no
2024-09-13,no,no,no
2024-09-14,yes,no,no
2024-09-15,no,no,yes
2024-09-16,no,no,no
2024-09-17,no,yes,no
2024-09-18,no,yes,no
2024-09-19,no,yes,no
2024-09-20,no,yes,no
2024-09-21,no,yes,no
2024-09-22,no,yes,no
2024-09-23,no,no,no
2024-09-24,no,no,no
2024-09-25,no,no,no
2024-09-26,no,no,no
2024-09-27,no,no,no
2024-09-28,no,no,no
2024-09-29,no,no,yes
2024-09-30,no,no,no
2024-10-01,no,yes,no
2024-10-02,no,yes,no
2024-10-03,no,no,no
2024-10-04,no,no,no
2024-10-05,no,no,no
2024-10-06,no,no,no
2024-10-07,no,no,no
2024-10-08,no,no,no
2024-10-09,no,no,no
2024-10-10,no,no,no
2024-10-11,no,no,no
2024-10-12,no,no,no
2024-10-13,no,no,yes
2024-10-14,no,no,no
2024-10-15,no,no,no
2024-10-16,no,no,no
2024-10-17,no,no,no
2024-10-18,no,no,no
2024-10-19,no,no,no
2024-10-20,no,no,no
2024-10-21,no,no,no
2024-10-22,no,no,no
2024-10-23,no,no,no
2024-10-24,no,no,no
2024-10-25,no,no,no
2024-10-26,no,no,no
2024-10-27,no,no,no
2024-10-28,no,no,no
2024-10-29,no,no,no
2024-10-30,no,no,no
2024-10-31,no,no,no
2024-11-01,no,no,no
2024-11-02,no,no,no
2024-11-03,no,no,yes
2024-11-04,no,no,no
2024-11-05,no,no,no
2024-11-06,no,no,no
2024-11-07,no,no,yes
2024-11-08,no,no,no
2024-11-09,no,no,no
2024-11-10,no,no,no
2024-11-11,no,no,no
2024-11-12,no,no,no
2024-11-13,no,no,no
2024-11-14,no,no,no
2024-11-15,no,no,no
2024-11-16,no,no,no
2024-11-17,yes,no,no
2024-11-18,no,no,no
2024-11-19,no,no,no
2024-11-20,no,no,no
2024-11-21,no,no,no
2024-11-22,no,no,no
2024-11-23,no,no,no
2024-11-24,no,no,no
2024-11-25,no,no,no
2024-11-26,no,no,no
2024-11-27,no,no,no
2024-11-28,no,no,no
2024-11-29,no,no,no
2024-11-30,no,no,no
2024-12-01,no,no,yes
2024-12-02,no,no,no
2024-12-03,no,no,no
2024-12-04,no,no,no
2024-12-05,no,no,no
2024-12-06,no,no,no
2024-12-07,no,no,no
2024-12-08,no,no,no
2024-12-09,no,no,no
2024-12-10,no,no,no
2024-12-11,no,no,no
2024-12-12,no,no,no
2024-12-13,no,no,no
2024-12-14,no,no,no
2024-12-15,no,no,no
2024-12-16,no,no,no
2024-12-17,no,no,no
2024-12-18,no,no,no
2024-12-19,no,no,no
2024-12-20,no,no,no
2024-12-21,no,no,yes
2024-12-22,no,no,no
2024-12-23,no,no,no
2024-12-24,no,no,no
2024-12-25,no,no,no
2024-12-26,no,no,no
2024-12-27,no,no,no
2024-12-28,no,no,no
2024-12-29,no,no,no
2024-12-30,no,no,no
2024-12-31,no,no,no